msa812	F5B fast airfoils edumolfino@ciudad.com
   0.0065170    0.0093755
   0.0059187    0.0088908
   0.0053305    0.0083932
   0.0047542    0.0078815
   0.0041899    0.0073548
   0.0036376    0.0068121
   0.0030993    0.0062523
   0.0025660    0.0056616
   0.0020567    0.0050489
   0.0015813    0.0044132
   0.0011490    0.0037504
   0.0007716    0.0030596
   0.0004562    0.0023378
   0.0003280    0.0019718
   0.0002179    0.0015979
   0.0001296    0.0012199
   0.0000624    0.0008370
   0.0000182    0.0004510
   0.0000000    0.0000000
   0.0000009   -0.0001610
   0.0000118   -0.0003850
   0.0000307   -0.0006080
   0.0000606   -0.0008300
   0.0000994   -0.0010501
   0.0001493   -0.0012681
   0.0002152   -0.0015011
   0.0002921   -0.0017312
   0.0003800   -0.0019562
   0.0004788   -0.0021783
   0.0005867   -0.0023953
   0.0007036   -0.0026084
   0.0008405   -0.0028344
   0.0009864   -0.0030535
   0.0011403   -0.0032676
   0.0013022   -0.0034757
   0.0014710   -0.0036778
   0.0016469   -0.0038749
   0.0029493   -0.0050636
   0.0046077   -0.0062155
   0.0066781   -0.0073556
   0.0092735   -0.0085379
   0.0125728   -0.0098107
   0.0168900   -0.0112060
   0.0226032   -0.0128030
   0.0300422   -0.0145920
   0.0391033   -0.0164648
   0.0493383   -0.0182753
   0.0601474   -0.0198990
   0.0714087   -0.0213400
   0.0828650   -0.0226111
   0.0945344   -0.0236983
   0.1062869   -0.0246646
   0.1180885   -0.0254738
   0.1300251   -0.0261502
   0.1420188   -0.0267366
   0.1540276   -0.0271969
   0.1661654   -0.0275774
   0.1782862   -0.0278769
   0.1904731   -0.0280973
   0.2026820   -0.0282488
   0.2149760   -0.0283484
   0.2272090   -0.0283929
   0.2395270   -0.0283824
   0.2518290   -0.0283330
   0.2641740   -0.0282335
   0.2765621   -0.0281111
   0.2888962   -0.0279547
   0.3012903   -0.0277593
   0.3136834   -0.0275459
   0.3260626   -0.0273025
   0.3384797   -0.0270321
   0.3508809   -0.0267547
   0.3632720   -0.0264463
   0.3757042   -0.0261279
   0.3880454   -0.0257914
   0.4003546   -0.0254180
   0.4127368   -0.0250556
   0.4250960   -0.0246802
   0.4374922   -0.0242658
   0.4499584   -0.0238444
   0.4624137   -0.0234220
   0.4748729   -0.0229896
   0.4873301   -0.0225493
   0.4997854   -0.0220979
   0.5122016   -0.0216365
   0.5246169   -0.0211581
   0.5370391   -0.0206777
   0.5494664   -0.0201883
   0.5618717   -0.0196969
   0.5742529   -0.0191985
   0.5866212   -0.0187061
   0.5990245   -0.0181877
   0.6114498   -0.0176613
   0.6238370   -0.0171479
   0.6361323   -0.0166334
   0.6483646   -0.0161109
   0.6605489   -0.0155924
   0.6727542   -0.0150559
   0.6850534   -0.0145335
   0.6974387   -0.0139860
   0.7098010   -0.0134526
   0.7221693   -0.0129162
   0.7345406   -0.0123648
   0.7468269   -0.0118313
   0.7590312   -0.0112858
   0.7712035   -0.0107653
   0.7834548   -0.0102118
   0.7958301   -0.0096724
   0.8081894   -0.0091250
   0.8205216   -0.0085885
   0.8328379   -0.0080461
   0.8449912   -0.0075365
   0.8569235   -0.0069969
   0.8689488   -0.0064943
   0.8812251   -0.0059688
   0.8936063   -0.0054394
   0.9059486   -0.0049200
   0.9182999   -0.0043885
   0.9306172   -0.0038681
   0.9428225   -0.0033466
   0.9548788   -0.0028190
   0.9665660   -0.0022872
   0.9774273   -0.0017670
   0.9872676   -0.0012512
   0.9955158   -0.0007866
   1.0000000   -0.0004980
