mb7136	F5B fast airfoils edumolfino@ciudad.com
   0.0802602   -0.0199518
   0.0920160   -0.0207508
   0.1038729   -0.0214349
   0.1158069   -0.0220201
   0.1278010   -0.0225184
   0.1398331   -0.0229387
   0.1518933   -0.0232881
   0.1639746   -0.0235694
   0.1760770   -0.0237868
   0.1881974   -0.0239462
   0.2003388   -0.0240516
   0.2125013   -0.0241061
   0.2246858   -0.0241165
   0.2368944   -0.0240870
   0.2491260   -0.0240245
   0.2613756   -0.0239341
   0.2736362   -0.0238196
   0.2859049   -0.0236831
   0.2981766   -0.0235257
   0.3104543   -0.0233483
   0.3227340   -0.0231518
   0.3350188   -0.0229374
   0.3473075   -0.0227070
   0.3596033   -0.0224605
   0.3719061   -0.0222001
   0.3842179   -0.0219277
   0.3965387   -0.0216463
   0.4088655   -0.0213589
   0.4211953   -0.0210645
   0.4335241   -0.0207652
   0.4458519   -0.0204598
   0.4581777   -0.0201484
   0.4705026   -0.0198300
   0.4828284   -0.0195046
   0.4951573   -0.0191732
   0.5074881   -0.0188358
   0.5198200   -0.0184945
   0.5321508   -0.0181481
   0.5444797   -0.0177967
   0.5568076   -0.0174393
   0.5691354   -0.0170759
   0.5814613   -0.0167065
   0.5937862   -0.0163321
   0.6061081   -0.0159497
   0.6184250   -0.0155613
   0.6307349   -0.0151639
   0.6430388   -0.0147555
   0.6553398   -0.0143361
   0.6676387   -0.0139037
   0.6799377   -0.0134593
   0.6922386   -0.0130029
   0.7045426   -0.0125345
   0.7168526   -0.0120561
   0.7291736   -0.0115687
   0.7415056   -0.0110763
   0.7538456   -0.0105820
   0.7661836   -0.0100896
   0.7785166   -0.0095992
   0.7908486   -0.0091128
   0.8031825   -0.0086305
   0.8155205   -0.0081511
   0.8278615   -0.0076727
   0.8402055   -0.0071954
   0.8525485   -0.0067170
   0.8648885   -0.0062376
   0.8772224   -0.0057572
   0.8895474   -0.0052729
   0.9018574   -0.0047815
   0.9141584   -0.0042801
   0.9264675   -0.0037667
   0.9387765   -0.0032473
   0.9510405   -0.0027228
   0.9631906   -0.0021803
   0.9750757   -0.0016065
   0.9861678   -0.0010429
   0.9952899   -0.0005655
   1.0000000   -0.0002400
