mb714	F5B fast airfoils edumolfino@ciudad.com
   0.0914930   -0.0192359
   0.1034050   -0.0198264
   0.1153902   -0.0203240
   0.1274244   -0.0207427
   0.1394946   -0.0210894
   0.1515869   -0.0213711
   0.1636933   -0.0215899
   0.1758187   -0.0217506
   0.1879661   -0.0218564
   0.2001256   -0.0219132
   0.2123071   -0.0219240
   0.2245107   -0.0218938
   0.2367363   -0.0218296
   0.2489859   -0.0217365
   0.2612485   -0.0216203
   0.2735221   -0.0214842
   0.2857977   -0.0213291
   0.2980764   -0.0211560
   0.3103581   -0.0209639
   0.3226428   -0.0207568
   0.3349345   -0.0205327
   0.3472302   -0.0202956
   0.3595299   -0.0200455
   0.3718387   -0.0197834
   0.3841554   -0.0195123
   0.3964861   -0.0192352
   0.4088189   -0.0189552
   0.4211526   -0.0186721
   0.4334884   -0.0183860
   0.4458211   -0.0180970
   0.4581529   -0.0178049
   0.4704807   -0.0175078
   0.4828114   -0.0172058
   0.4951432   -0.0169007
   0.5074790   -0.0165916
   0.5198177   -0.0162816
   0.5321535   -0.0159695
   0.5444883   -0.0156544
   0.5568201   -0.0153364
   0.5691498   -0.0150143
   0.5814816   -0.0146892
   0.5938084   -0.0143602
   0.6061302   -0.0140251
   0.6184510   -0.0136850
   0.6307578   -0.0133379
   0.6430616   -0.0129798
   0.6553594   -0.0126107
   0.6676543   -0.0122287
   0.6799511   -0.0118356
   0.6922469   -0.0114295
   0.7045478   -0.0110104
   0.7168547   -0.0105823
   0.7291725   -0.0101452
   0.7415034   -0.0097032
   0.7538313   -0.0092621
   0.7661582   -0.0088240
   0.7784820   -0.0083900
   0.7908019   -0.0079619
   0.8031248   -0.0075398
   0.8154536   -0.0071218
   0.8277875   -0.0067057
   0.8401223   -0.0062916
   0.8524612   -0.0058776
   0.8648000   -0.0054635
   0.8771319   -0.0050505
   0.8894508   -0.0046324
   0.9017596   -0.0042083
   0.9140575   -0.0037732
   0.9263634   -0.0033261
   0.9386793   -0.0028741
   0.9509461   -0.0024189
   0.9630811   -0.0019457
   0.9749440   -0.0014383
   0.9860050   -0.0009402
   0.9952450   -0.0005257
   1.0000000   -0.0002385
